CourseID,CoursesName,Spec
CSC10001,Nhập môn lập trình,foundation
CSC10002,Kỹ thuật lập trình,foundation
CSC10003,Phương pháp lập trình hướng đối tượng,foundation
CSC10004,Cấu trúc dữ liệu và giải thuật,foundation
CSC10005,Kiến trúc máy tính và hợp ngữ,foundation
CSC10006,Cơ sở dữ liệu,foundation
CSC10008,Mạng máy tính,foundation
BAA00011,Anh văn 1,sub
BAA00012,Anh văn 2,sub
BAA00013,Anh văn 3,sub
BAA00014,Anh văn 4,sub
BAA00021,Thể dục 1,sub
BAA00022,Thể dục 2,sub
BAA00030,Giáo dục quốc phòng,sub
